year,month,nl_kg,nl_usd,nb_kg,nb_usd,month_num,total_kg,nb_share,month_name,us_nb_kg,total_nb_exports,japan_share_of_gulf
2023,August,16983.0,215488.0,7799.0,89804.0,8,24782.0,31.47042208054233,August,435018.12780430575,442817.12780430575,1.7612236542590587
2023,December,0.0,0.0,0.0,0.0,12,0.0,,December,134133.73106669536,134133.73106669536,0.0
2023,February,0.0,0.0,0.0,0.0,2,0.0,,February,126872.74562470993,126872.74562470993,0.0
2023,January,0.0,0.0,0.0,0.0,1,0.0,,January,151400.69644705104,151400.69644705104,0.0
2023,July,18860.0,219916.0,56331.0,505015.0,7,75191.0,74.91721083640329,July,1253463.4868508086,1309794.4868508086,4.300751038847237
2023,June,31230.0,333767.0,232633.0,2247300.0,6,263863.0,88.1643125409777,June,1489504.0135980453,1722137.0135980453,13.50839092146112
2023,March,0.0,0.0,0.0,0.0,3,0.0,,March,60377.87894452511,60377.87894452511,0.0
2023,May,0.0,0.0,631495.0,6246567.0,5,631495.0,100.0,May,4724409.527728882,5355904.527728882,11.790632128160418
2023,November,0.0,0.0,0.0,0.0,11,0.0,,November,146169.70693499676,146169.70693499676,0.0
2023,October,0.0,0.0,0.0,0.0,10,0.0,,October,209384.5801914504,209384.5801914504,0.0
2023,September,0.0,0.0,0.0,0.0,9,0.0,,September,132927.73348467713,132927.73348467713,0.0
2024,April,0.0,0.0,489343.0,4792651.0,4,489343.0,100.0,April,4699789.577090996,5189132.577090996,9.430150275218512
2024,August,22050.0,55082.0,0.0,0.0,8,22050.0,0.0,August,334947.3284426579,334947.3284426579,0.0
2024,December,0.0,0.0,0.0,0.0,12,0.0,,December,199782.59944307632,199782.59944307632,0.0
2024,February,0.0,0.0,0.0,0.0,2,0.0,,February,109542.78037066672,109542.78037066672,0.0
2024,January,2798.0,37505.0,0.0,0.0,1,2798.0,0.0,January,220065.55877647264,220065.55877647264,0.0
2024,July,17799.0,243884.0,25203.0,360773.0,7,43002.0,58.608901911539,July,649494.6977864997,674697.6977864997,3.7354507185490946
2024,June,49953.0,731724.0,135236.0,1423965.0,6,185189.0,73.02593566572529,June,761324.473571823,896560.473571823,15.083868181387801
2024,March,0.0,0.0,0.0,0.0,3,0.0,,March,257819.48308121276,257819.48308121276,0.0
2024,May,95966.0,1447168.0,479613.0,5479072.0,5,575579.0,83.3270498055002,May,2635242.71643317,3114855.71643317,15.3975992361279
2024,November,0.0,0.0,0.0,0.0,11,0.0,,November,201673.59565169696,201673.59565169696,0.0
2024,October,0.0,0.0,0.0,0.0,10,0.0,,October,124256.75086968526,124256.75086968526,0.0
2024,September,11533.0,167021.0,0.0,0.0,9,11533.0,0.0,September,131667.7360109267,131667.7360109267,0.0
2025,April,0.0,0.0,369638.0,4381492.0,4,369638.0,100.0,April,4177741.62377836,4547379.62377836,8.128593400629097
2025,August,16874.0,258574.0,0.0,0.0,8,16874.0,0.0,August,295125.408284175,295125.408284175,0.0
2025,December,0.0,0.0,0.0,0.0,12,0.0,,,,0.0,
2025,February,0.0,0.0,0.0,0.0,2,0.0,,February,31025.937794111036,31025.937794111036,0.0
2025,January,0.0,0.0,0.0,0.0,1,0.0,,January,345848.30658658897,345848.30658658897,0.0
2025,July,16873.0,258478.0,0.0,0.0,7,16873.0,0.0,July,1007963.9790684886,1007963.9790684886,0.0
2025,June,0.0,0.0,91851.0,893535.0,6,91851.0,100.0,June,580014.8370911205,671865.8370911205,13.671032954685398
2025,March,0.0,0.0,0.0,0.0,3,0.0,,,,0.0,
2025,May,0.0,0.0,246705.0,2466200.0,5,246705.0,100.0,May,1978987.0322022045,2225692.0322022047,11.084417629688796
2025,November,0.0,0.0,0.0,0.0,11,0.0,,,,0.0,
2025,October,0.0,0.0,0.0,0.0,10,0.0,,October,69983.85968487935,69983.85968487935,0.0
2025,September,0.0,0.0,0.0,0.0,9,0.0,,September,239189.52043361758,239189.52043361758,0.0
